Артикул;Материал;Облицовка[L1];Облицовка[L2];Облицовка[W1];Облицовка[W2];Код детали;Наименование;Количество;Текстура;Ориентация в WoodNEST;Длина;Ширина;Толщина;Сторона;Две программы;Заказ;Путь;Позиция;Артикул изделия;Наименование изделия;Имя файла;Проект;Толщина облицовки кромки [L1];Толщина облицовки кромки [L2];Толщина облицовки кромки [W1];Толщина облицовки кромки [W2];Пластик (лицевая);Пластик (лицевая) артикул;Пластик (нелицевая);Пластик (нелицевая) артикул;Краска;Форма;Пазы;Отверстия в пласть;Отверстия в торец;Блок;псто;Кромка
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.920;ПФ ~‡ ~µ~₰‹ПФ, фасад, T-KOMBI, x2, (22);1;X;1;2397;450;22;Нелицевая;2;7089_14011;\7089_14011_920_H1_2397x450x22__O;920;14011;7089_14011;7089_14011_920_H1_2397x450x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ||FANT_CONTOUR||U_V 3.2x4мм||фаска мдф 1х1||OMM, выпрямитель, паз, 11.5х9;2;0;А;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.919;ПФ ~‡ ~µ~₰‹ПФ, фасад, T-KOMBI, x2, (22);1;X;1;2397;450.5;22;Нелицевая;2;7089_14011;\7089_14011_919_H1_2397x451x22__O;919;14011;7089_14011;7089_14011_919_H1_2397x451x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ||FANT_CONTOUR||U_V 3.2x4мм||фаска мдф 1х1||OMM, выпрямитель, паз, 11.5х9;2;0;Д;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.918;ПФ ~‡ ~µ~₰‹ПФ, фасад, T-KOMBI, x2, (22);1;X;1;2397;450.5;22;Нелицевая;2;7089_14011;\7089_14011_918_H1_2397x450x22__O;918;14011;7089_14011;7089_14011_918_H1_2397x450x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ||FANT_CONTOUR||U_V 3.2x4мм||фаска мдф 1х1||OMM, выпрямитель, паз, 11.5х9;2;0;Д;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.208;BLENDA, IUI T ~‡ ~µ;3;Y;2;193;80;22;Нелицевая;2;7089_14011;\7089_14011_208_H1_193x80x22__O;208;14011;7089_14011;7089_14011_208_H1_193x80x22__O;14011;;;;;;;;;NCS S 0500-N/580, 2Х + лак для столешниц;1;ЛНУ;2;0;Р;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.207;M2_R_YPAK, фасад, T-0 (22) ~‡ ~µ;1;;;481.444;50;22;Нелицевая;2;7089_14011;\7089_14011_207_H1_481x50x22__O;207;14011;7089_14011;7089_14011_207_H1_481x50x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ;2;0;Б;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.206;M2_R_YPAK, фасад, T-0 (22) ~‡ ~µ;1;;;450;98;22;Нелицевая;2;7089_14011;\7089_14011_206_H1_450x98x22__O;206;14011;7089_14011;7089_14011_206_H1_450x98x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ||фаска мдф 1х1;2;0;А;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.205;M2_R_YPAK, фасад, T-0 (22) ~‡ ~µ;1;;;953.948;50;22;Нелицевая;2;7089_14011;\7089_14011_205_H1_954x50x22__O;205;14011;7089_14011;7089_14011_205_H1_954x50x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ;2;0;Г;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.204;M2_R_YPAK, фасад, T-0 (22) ~‡ ~µ;1;;;1394.188;50;22;Нелицевая;2;7089_14011;\7089_14011_204_H1_1394x50x22__O;204;14011;7089_14011;7089_14011_204_H1_1394x50x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ;2;0;В;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.203;M2_R_YPAK, фасад, T-0 (22) ~‡ ~µ;1;;;904;98;22;Нелицевая;2;7089_14011;\7089_14011_203_H1_904x98x22__O;203;14011;7089_14011;7089_14011_203_H1_904x98x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ||фаска мдф 1х1;2;0;Д;;0
MDF Egr 22 1x MB;МДФ, EGR, 22, 1x, MB, Белый;  ;  ;  ;  ;7089_14011.202;M2_R_YPAK, фасад, T-23, obv-20 ~‡ ~µ;1;Y;2;450.5;218.599;22;Нелицевая;2;7089_14011;\7089_14011_202_H1_450x219x22__O;202;14011;7089_14011;7089_14011_202_H1_450x219x22__O;14011;;;;;;;;;NCS S 0500-N/580;1;ЛНУ;2;0;Г;;0
